date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:05	12022/12022	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/	my.moneymeets.com/index.html	(from )
14:47:05	281/281	---MC-	404	error ('Not%20Found')	application/xml	date:Tue,%2022%20Oct%202019%2012:47:04%20GMT	https://my.moneymeets.com/robots.txt		(from )
14:47:05	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:05%20GMT	http://my.moneymeets.com/styles.263ca3429796bcaa135b.css	my.moneymeets.com/styles.263ca3429796bcaa135b.1.delayed	(from https://my.moneymeets.com/)
14:47:06	3332/3332	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/styles.263ca3429796bcaa135b.css	my.moneymeets.com/styles.263ca3429796bcaa135b.css	(from https://my.moneymeets.com/)
14:47:07	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:07%20GMT	http://my.moneymeets.com/polyfills-nomodule-es5.b79bfebc521ac1ea1602.js	my.moneymeets.com/polyfills-nomodule-es5.b79bfebc521ac1ea1602.js	(from https://my.moneymeets.com/)
14:47:08	394/394	---M--	200	added ('OK')	application/javascript	etag:%22b9a6044d89c53f3b09d2e51faade8789%22	https://my.moneymeets.com/polyfills-nomodule-es5.b79bfebc521ac1ea1602.js	my.moneymeets.com/polyfills-nomodule-es5.b79bfebc521ac1ea1602.js	(from https://my.moneymeets.com/)
14:47:09	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:09%20GMT	http://my.moneymeets.com/polyfills-es5.fff19a09a0fe0b1c717e.js	my.moneymeets.com/polyfills-es5.fff19a09a0fe0b1c717e.js	(from https://my.moneymeets.com/)
14:47:12	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:11%20GMT	http://my.moneymeets.com/polyfills-es2015.5fd77106c0c23d70b7c1.js	my.moneymeets.com/polyfills-es2015.5fd77106c0c23d70b7c1.js	(from https://my.moneymeets.com/)
14:47:14	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:13%20GMT	http://my.moneymeets.com/runtime-es2015.db9b7db67570b09188c6.js	my.moneymeets.com/runtime-es2015.db9b7db67570b09188c6.js	(from https://my.moneymeets.com/)
14:47:15	299271/299271	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/polyfills-es5.fff19a09a0fe0b1c717e.js	my.moneymeets.com/polyfills-es5.fff19a09a0fe0b1c717e.js	(from https://my.moneymeets.com/)
14:47:15	211753/211753	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/polyfills-es2015.5fd77106c0c23d70b7c1.js	my.moneymeets.com/polyfills-es2015.5fd77106c0c23d70b7c1.js	(from https://my.moneymeets.com/)
14:47:16	2691/2691	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/runtime-es2015.db9b7db67570b09188c6.js	my.moneymeets.com/runtime-es2015.db9b7db67570b09188c6.js	(from https://my.moneymeets.com/)
14:47:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:16%20GMT	http://my.moneymeets.com/main-es2015.159271def7048e784107.js	my.moneymeets.com/main-es2015.159271def7048e784107.js	(from https://my.moneymeets.com/)
14:47:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:18%20GMT	http://my.moneymeets.com/runtime-es5.db9b7db67570b09188c6.js	my.moneymeets.com/runtime-es5.db9b7db67570b09188c6.js	(from https://my.moneymeets.com/)
14:47:19	2685/2685	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/runtime-es5.db9b7db67570b09188c6.js	my.moneymeets.com/runtime-es5.db9b7db67570b09188c6.js	(from https://my.moneymeets.com/)
14:47:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Oct%202019%2012:47:20%20GMT	http://my.moneymeets.com/main-es5.159271def7048e784107.js	my.moneymeets.com/main-es5.159271def7048e784107.js	(from https://my.moneymeets.com/)
14:47:21	1107249/1107249	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/main-es2015.159271def7048e784107.js	my.moneymeets.com/main-es2015.159271def7048e784107.js	(from https://my.moneymeets.com/)
14:47:23	1163417/1163417	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Oct%202019%2010:57:54%20GMT	https://my.moneymeets.com/main-es5.159271def7048e784107.js	my.moneymeets.com/main-es5.159271def7048e784107.js	(from https://my.moneymeets.com/)
